        Frequency / GHz                SZmax(1),Zmax(1)_(wt=0.2)/abs,dB
                  10.528                    -0.051274198
                  10.532                    -0.051245906
                  10.536                    -0.051218619
                   10.54                    -0.051192325
                  10.544                    -0.051167011
                  10.548                    -0.051142663
                  10.552                    -0.051119271
                  10.556                    -0.051096821
                   10.56                    -0.051075302
                  10.564                    -0.051054702
                  10.568                     -0.05103501
                  10.572                    -0.051016215
                  10.576                    -0.050998305
                   10.58                     -0.05098127
                  10.584                      -0.0509651
                  10.588                    -0.050949783
                  10.592                    -0.050935311
                  10.596                    -0.050921672
                    10.6                    -0.050908857
                  10.604                    -0.050896857
                  10.608                    -0.050885662
                  10.612                    -0.050875262
                  10.616                     -0.05086565
                   10.62                    -0.050856815
                  10.624                     -0.05084875
                  10.628                    -0.050841446
                  10.632                    -0.050834894
                  10.636                    -0.050829086
                   10.64                    -0.050824014
                  10.644                     -0.05081967
                  10.648                    -0.050816047
                  10.652                    -0.050813137
                  10.656                    -0.050810932
                   10.66                    -0.050809426
                  10.664                     -0.05080861
                  10.668                    -0.050808478
                  10.672                    -0.050809023
                  10.676                    -0.050810238
                   10.68                    -0.050812117
                  10.684                    -0.050814653
                  10.688                     -0.05081784
                  10.692                    -0.050821671
                  10.696                     -0.05082614
                    10.7                    -0.050831242
                  10.704                     -0.05083697
                  10.708                    -0.050843319
                  10.712                    -0.050850283
                  10.716                    -0.050857856
                   10.72                    -0.050866033
                  10.724                    -0.050874809
                  10.728                    -0.050884178
                  10.732                    -0.050894135
                  10.736                    -0.050904676
                   10.74                    -0.050915795
                  10.744                    -0.050927487
                  10.748                    -0.050939748
                  10.752                    -0.050952573
                  10.756                    -0.050965958
                   10.76                    -0.050979898
                  10.764                    -0.050994388
                  10.768                    -0.051009426
                  10.772                    -0.051025005
                  10.776                    -0.051041123
                   10.78                    -0.051057775
                  10.784                    -0.051074958
                  10.788                    -0.051092667
                  10.792                    -0.051110899
                  10.796                     -0.05112965
                    10.8                    -0.051148916
                  10.804                    -0.051168695
                  10.808                    -0.051188982
                  10.812                    -0.051209775
                  10.816                    -0.051231069
                   10.82                    -0.051252863
                  10.824                    -0.051275152
                  10.828                    -0.051297934
                  10.832                    -0.051321206
                  10.836                    -0.051344965
                   10.84                    -0.051369207
                  10.844                    -0.051393931
                  10.848                    -0.051419133
                  10.852                    -0.051444812
                  10.856                    -0.051470963
                   10.86                    -0.051497586
                  10.864                    -0.051524677
                  10.868                    -0.051552235
                  10.872                    -0.051580256
                  10.876                    -0.051608739
                   10.88                    -0.051637681
                  10.884                    -0.051667081
                  10.888                    -0.051696936
                  10.892                    -0.051727244
                  10.896                    -0.051758004
                    10.9                    -0.051789214
                  10.904                    -0.051820871
                  10.908                    -0.051852975
                  10.912                    -0.051885523
                  10.916                    -0.051918514
                   10.92                    -0.051951946
                  10.924                    -0.051985818
                  10.928                    -0.052020128
                  10.932                    -0.052054875
                  10.936                    -0.052090058
                   10.94                    -0.052125675
                  10.944                    -0.052161726
                  10.948                    -0.052198208
                  10.952                    -0.052235121
                  10.956                    -0.052272464
                   10.96                    -0.052310236
                  10.964                    -0.052348436
                  10.968                    -0.052387063
                  10.972                    -0.052426116
                  10.976                    -0.052465595
                   10.98                    -0.052505498
                  10.984                    -0.052545825
                  10.988                    -0.052586576
                  10.992                    -0.052627749
                  10.996                    -0.052669345
                      11                    -0.052711362
                  11.004                    -0.052753801
                  11.008                    -0.052796661
                  11.012                    -0.052839942
                  11.016                    -0.052883643
                   11.02                    -0.052927764
                  11.024                    -0.052972306
                  11.028                    -0.053017267
                  11.032                    -0.053062649
                  11.036                     -0.05310845
                   11.04                    -0.053154672
                  11.044                    -0.053201313
                  11.048                    -0.053248375
                  11.052                    -0.053295857
                  11.056                     -0.05334376
                   11.06                    -0.053392084
                  11.064                    -0.053440829
                  11.068                    -0.053489996
                  11.072                    -0.053539586
                  11.076                    -0.053589598
                   11.08                    -0.053640033
                  11.084                    -0.053690892
                  11.088                    -0.053742176
                  11.092                    -0.053793884
                  11.096                    -0.053846019
                    11.1                    -0.053898581
                  11.104                    -0.053951571
                  11.108                    -0.054004989
                  11.112                    -0.054058837
                  11.116                    -0.054113115
                   11.12                    -0.054167825
                  11.124                    -0.054222968
                  11.128                    -0.054278545
                  11.132                    -0.054334558
                  11.136                    -0.054391007
                   11.14                    -0.054447894
